route_id,direction_id,time_slot,sched_headway_min,sd_headway_min,n_departures,route_short_name,transport_type,n_vehicles,total_capacity,n_ctrl_points,peak
1_1,0,вечір/ніч,7.4186046511627906,4.288592610411146,43,1,трамвай,37,9620,4,FALSE
1_1,0,вечірній пік,5.411764705882353,1.3054117441431576,34,1,трамвай,37,9620,4,TRUE
1_1,0,день,7.033898305084745,3.1566356036621364,59,1,трамвай,37,9620,4,FALSE
1_1,0,ранковий пік,4.7894736842105265,1.5273700190079804,38,1,трамвай,37,9620,4,TRUE
1_1,1,вечір/ніч,9.833333333333334,3.459915388091683,24,1,трамвай,37,9620,4,FALSE
1_1,1,вечірній пік,6.285714285714286,1.940926522874003,28,1,трамвай,37,9620,4,TRUE
1_1,1,день,7.88888888888889,2.3039479379163343,54,1,трамвай,37,9620,4,FALSE
1_1,1,ранковий пік,5.8,0.924755326447544,30,1,трамвай,37,9620,4,TRUE
1_36,0,вечір/ніч,17.266666666666666,8.891943919451286,15,11,трамвай,21,3528,4,FALSE
1_36,0,вечірній пік,25.142857142857142,2.1157009420498154,7,11,трамвай,21,3528,4,TRUE
1_36,0,день,24.294117647058822,7.848285687670533,17,11,трамвай,21,3528,4,FALSE
1_36,0,ранковий пік,20.444444444444443,5.854722690083432,9,11,трамвай,21,3528,4,TRUE
1_36,1,вечір/ніч,25,3.22490309931942,6,11,трамвай,21,3528,4,FALSE
1_36,1,вечірній пік,25.142857142857142,2.115700942049815,7,11,трамвай,21,3528,4,TRUE
1_36,1,день,22.894736842105264,8.35925792056066,19,11,трамвай,21,3528,4,FALSE
1_36,1,ранковий пік,24.142857142857142,8.474050024015897,7,11,трамвай,21,3528,4,TRUE
1_37,0,вечір/ніч,13.714285714285714,9.241984944495728,21,12,трамвай,33,5544,6,FALSE
1_37,0,вечірній пік,23.625,4.983902658989812,8,12,трамвай,33,5544,6,TRUE
1_37,0,день,17.4,10.082988974836118,25,12,трамвай,33,5544,6,FALSE
